code,name,category,expected_growth_years,expected_behavior,needs_confirm,source
4452,花王,backfill_restore+fiscal_change,36,確定値36年（haitoukin復元・3月→12月決算変更2012）,no,zai
6370,栗田工業,backfill_restore,22,確定値22年（haitoukin復元）,no,zai
5947,リンナイ,backfill_restore,24,確定値24年（haitoukin復元）,no,zai
8113,ユニ・チャーム,backfill_restore,24,確定値24年（haitoukin復元）,no,zai
9433,KDDI,calc_match,24,機械計算で一致（回帰防止）,no,zai
8593,三菱HCキャピタル,merger+override,27,override27年（2021合併）,no,zai+override
7466,SPK,gap+override,28,override28年（歯抜けあり）,no,zai+override
4967,小林製薬,defdiff+override,26,override26年（上場前から数える定義差）,no,zai+override
4732,ユー・エス・エス,override,26,override26年,no,zai+override
9436,沖縄セルラー電話,gap+override,24,override24年（歯抜けあり）,no,zai+override
2659,サンエー,override,23,override23年,no,zai+override
7532,PPIH,override,22,override22年,no,zai+override
4527,ロート製薬,override,22,override22年,no,zai+override
7504,高速,gap+override,22,override22年（歯抜けあり）,no,zai+override
9843,ニトリHD,override,22,override22年,no,zai+override
2391,プラネット,override,21,override21年,no,zai+override
8424,芙蓉総合リース,override,21,override21年,no,zai+override
8425,みずほリース,override,21,override21年,no,zai+override
9432,NTT,split_mismatch,,境界異常チェックで弾く→override待ち（100分割等）,yes,ir
9984,ソフトバンクG,split_mismatch,,境界異常チェックで弾く→override待ち,yes,ir
4812,電通総研,split_mismatch,,境界異常チェックで弾く→override待ち,yes,ir
9531,東京瓦斯,boundary1989_nocut,,データ不足→N+表示（非減配36年+）,yes,ir
9532,大阪瓦斯,boundary1989_nocut,,データ不足→N+表示,yes,ir
8253,クレディセゾン,boundary1989_nocut,,データ不足→N+表示,yes,ir
4503,アステラス製薬,merger_fiction,,naive計算禁止→override（2005山之内+藤沢合併）,yes,ir
8267,イオン,fiscal_feb,,会計年度バケツが正しいこと（2月期決算）,no,—
8233,高島屋,fiscal_feb,,会計年度バケツが正しいこと（2月期決算）,no,—
3038,神戸物産,true_ipo_control,,N+を付けない・確定値（真の2000年以降上場の対照群）,yes,kabutan
4502,武田薬品工業,ifrs_standard,,IFRS会計基準ラベル辞書が成立（配当は横ばい維持＝grade_dividend中・grade_capital別評価）,yes,edinet
6758,ソニーグループ,ifrs_standard,,IFRSパース成立・大型・低配当利回り（valuation/capital claimの分離）,yes,edinet
7751,キヤノン,usgaap_standard,,US基準ラベル辞書が成立＋過去減配でdividend_reliability低下,yes,edinet
2914,JT,high_yield_cut,,2021減配をdividend_cut_count_20yが捕捉・高利回りでも信頼性減点,yes,ir
8306,三菱UFJフィナンシャルG,financial_large,,金融大型swap（自己資本比率の業種相対扱い）・grade_health分離,yes,ir
4385,メルカリ,no_dividend,,無配=zero_legit/missing判定でgrade_dividend最低・分母から除外の確認,yes,ir
7201,日産自動車,cut_and_loss,,減配＋赤字でgrade_dividend/grade_health低・claim別評価の分離確認,yes,ir
